index,name,rating,review_count,price,zip_code,id
551,George Rivolo Diner,4.5,28,$,63114,gD2sF9BKMP428y1NJEiPbQ
552,Wonton King,4.0,251,$$,63130,DT_ZjeS2ZvBuzZvt9h48fg
553,Maria's Deli,4.5,46,$,63114,7iL_h9OsbW0T7MiiLbrbAA
554,De Palm Tree,4.0,151,$$,63132,ZRSVqYaoo3VMvthb2QEJmw
555,Skeeters Frozen Custard,4.0,47,$,63114,gRNBy7lRv1QVsYkEOTYarw
556,Seoul Garden Korean Restaurant,3.5,294,$$,63074,9llupBLdHKFzfawIk6I74w
557,"Saint Louis Halal Meat, Grocery & Foods - Baba's Restaurant",4.5,46,$,63132,YSuVRABFuPIy8N91x2yg5Q
558,Nick & Elena's Pizzeria,3.5,72,$$,63114,buP98xgFQrgutle85Llqag
559,Pho Long,3.5,233,$,63132,aDm4JESclYP_L2tY_sqaDA
560,Asian Kitchen Korean Cuisine,3.5,172,$$,63132,jPewcmlW0MSV5TezEllWtw
561,Nobu's Japanese Restaurant,4.0,138,$$,63132,q5dSzxE6grwCzu23_PlesA
562,Busloop Burgers,4.5,80,$,63074,s5IM5Ra60RfRGdL643w74Q
563,Szechuan Cuisine,4.5,59,$$,63130,8Zfo-9ZQWwC85wyBcRDb_Q
564,Fallon's Bar & Grill,4.0,125,$$,63132,lOZxgiTD0KBCaECdL1eWHA
565,Soup Dumplings STL,4.0,111,$$,63130,Gw_PUqVT9e4AiC_kj9BJJw
566,Big Jay's Fish Chicken & Shrimp,4.5,42,$,63114,y38HeTHdVNPUzd6duJBsJA
567,Bandana's Bar-B Q,4.0,188,$$,63074,OrzCInxEE8FlVYO-U5wemA
568,Olivette Diner,4.0,139,$,63132,xmyyCbcUhXaiYqzejO0Sgg
569,Cube Tea Studio,4.5,59,$$,63130,DmAQI7yLLqQMNNztUbqtsQ
586,Gamlin Whiskey House,3.5,520,$$,63108,fZ92MJ1hbEMXqwWTSwF9lA
587,Kampai Sushi Bar,4.0,284,$$,63108,ARgidflSXPHj7uhK-Y7hwA
588,Cocina Latina,5.0,44,$$,63108,ngU4740twiB222g4ti0_eQ
589,India Rasoi,4.0,287,$$,63108,tWJ3DwufXIKdlLTEw7K96g
590,West End Grill & Pub,4.0,181,$$,63108,1KhNDQSdDqzPQaZk8PIdGg
591,Thai 202,4.0,248,$,63108,rXqlpCH6z9rSFNCL76FfLw
