index,name,rating,review_count,price,zip_code,id
1744,Popeyes Louisiana Kitchen,1.5,15,$,63135.0,VwUiIVmWjtuKUEWgOL-cZw
1747,D & K Sandwich Shop,3.5,3,$,63134.0,wE5ieswnHQBTwt0YuifA1Q
1748,Spencer's Bakery,3.0,2,$,63135.0,qCwuywloc66i0P0plbRleA
1752,The White Barn,4.5,20,$,63136.0,PL6CzuA_gDqBL_eWc_6ouw
1756,Mack's Chicken,3.5,19,$,63136.0,mJJTx-x896dLV2gSMwQ35g
1760,Cracker Barrel Old Country Store,2.5,52,$,63136.0,PFLbYu6MuGr1BbDWb1c0yA
1767,Peking Chop Suey,4.0,7,$,63136.0,HtD7RhKMdovXiqr4nTiMqg
1779,Applebee's Grill + Bar,2.0,27,$$,63033.0,iOneMCZY-T3w4aisqi4R2Q
1780,Chu Vu III Chop Suey Restaurant,3.5,2,$,63136.0,TqmnnAxB6E1O3ufngyt6yQ
1782,Leawa Chop Suey,3.5,3,$,63136.0,c-QzuVK3q5BHGcIdI0nHdA
1785,Papa John's Pizza,2.0,9,$,63136.0,uyc-S7lauYjzouYQ2TM76A
1786,Krispy Kreme,2.5,10,$,63136.0,akDpsA4iPc6_0pHbDWFyYQ
1791,New Chong Weh,3.0,5,$,63136.0,pLJKpk57xNCZVeSTKea28w
1793,Sonic Drive-In,1.5,7,$,63136.0,JmOL5qRHdqVqTQ1dp2ZKSQ
1796,Captain D's,4.0,2,$$,63033.0,8F50jMju_rreoSlK71k8CA
1802,JC Supper Club,4.0,7,$$,63137.0,U5iSWfTcvzqnur3SZkGBHA
1803,Playboy El Cappuccino,3.5,21,$$,63147.0,6ocjEAlJYLZu0SksTMUZRg
1805,C-W Fried & Grill,4.5,3,$,63137.0,JKmqeigSs6vLKpjoRPhLug
1809,Schnucks Sierra Vista,4.0,2,$$,63138.0,CASPVZ5z5cGrFS3UYaylWQ
1811,Hardees,2.0,6,$,63137.0,MU38C5Fu2ER5PwwPWQMyHw
1813,T Js Pizza,2.5,3,$,63137.0,1dF6hKCLrdEPDOWcwrXgOA
1815,Soul Peppers Restaurant,3.0,3,$,63137.0,o4Lztqm8JbPbNx5j-h2sOA
1820,Little Caesars Pizza,1.0,1,$,63136.0,oIrq8ecU2ECQqXmW-Ueifw
1825,Rookies Bar,3.5,9,$,63033.0,fJVsb37KbVPNuPO_4_lktg
1827,St Louis Fish & Chicken,3.0,10,$$,63033.0,GU9Cmcwudub8l_NaghjXlg
1872,The Cakery,4.5,96,$$,63139.0,tn3_76PZZLCmGBLgBWdTTw
