zip_code,city,latitude,longetude,population,People / Sq. Mile,National Rank,number,State
10458,Bronx,40.862831,-73.886395,77840,62296.26,#32,32, New York
11103,Astoria,40.762634,-73.913156,44321,62111.19,#33,33, New York
11213,Brooklyn,40.671034,-73.936357,65440,61712.16,#34,34, New York
2113,Boston,42.36517,-71.055363,6401,60728.26,#35,35, Massachusetts
11373,Elmhurst,40.737347,-73.878716,105723,60548.99,#36,36, New York
10457,Bronx,40.846687,-73.898374,69048,58547.95,#37,37, New York
10024,New York,40.786307,-73.970694,61414,58433.71,#38,38, New York
10014,New York,40.733471,-74.007098,32667,57977.33,#39,39, New York
11216,Brooklyn,40.680854,-73.949144,55775,57545.77,#40,40, New York
11219,Brooklyn,40.632769,-73.996642,85987,57544.5,#41,41, New York
10472,Bronx,40.82965,-73.869368,64867,57252.59,#42,42, New York
11212,Brooklyn,40.662907,-73.912969,85161,55655.62,#43,43, New York
11221,Brooklyn,40.69131,-73.927772,76363,55063.29,#44,44, New York
10038,New York,40.709336,-74.002943,15574,55019.61,#45,45, New York
10027,New York,40.811407,-73.953564,56168,55006.21,#46,46, New York
11220,Brooklyn,40.641307,-74.016251,92718,54760.03,#47,47, New York
94108,San Francisco,37.791998,-122.408653,13716,53134.47,#48,48, California
11218,Brooklyn,40.643783,-73.975954,74611,51580.19,#49,49, New York
98174,Seattle,47.604569,-122.335359,180,50978.44,#50,50, Washington
10455,Bronx,40.814678,-73.908333,37465,50333.01,#51,51, New York
11106,Astoria,40.762211,-73.931528,43130,49707.26,#52,52, New York
10017,New York,40.752292,-73.972393,16201,49391.49,#53,53, New York
90057,Los Angeles,34.061918,-118.277939,43986,49226.28,#54,54, California
10462,Bronx,40.842823,-73.858861,72077,48907.02,#55,55, New York
11206,Brooklyn,40.702037,-73.942444,69032,48593.28,#56,56, New York
11237,Brooklyn,40.70416,-73.921139,48910,48552.49,#57,57, New York
11374,Rego Park,40.726219,-73.861264,44189,48499.11,#58,58, New York
10019,New York,40.766331,-73.985013,36012,48230.17,#59,59, New York
11230,Brooklyn,40.622104,-73.965118,88933,48088.05,#60,60, New York
7093,West New York,40.788031,-74.011606,56559,47972.38,#61,61, New Jersey
10034,New York,40.869208,-73.921929,41756,47051.23,#62,62, New York
11204,Brooklyn,40.618675,-73.984893,74880,46953.11,#63,63, New York
94109,San Francisco,37.794487,-122.42227,56322,46521.46,#64,64, California
10459,Bronx,40.825558,-73.893156,39080,46368.65,#65,65, New York
11217,Brooklyn,40.682306,-73.978099,35353,46140.97,#66,66, New York
11233,Brooklyn,40.678089,-73.919867,61955,46112.06,#67,67, New York
10013,New York,40.720067,-74.004829,25042,45458.99,#68,68, New York
11211,Brooklyn,40.713507,-73.952578,85089,44840.17,#69,69, New York
11225,Brooklyn,40.662236,-73.958951,63774,44803.32,#70,70, New York
94102,San Francisco,37.7795,-122.419233,28991,44719.24,#71,71, California
11102,Astoria,40.772884,-73.926295,36291,44416.74,#72,72, New York
10280,New York,40.708501,-74.016828,6614,44080.87,#73,73, New York
11419,South Richmond Hill,40.688685,-73.822882,48867,43351.49,#74,74, New York
11238,Brooklyn,40.678424,-73.963874,48965,42063.29,#75,75, New York
11355,Flushing,40.750123,-73.820977,83281,40980.07,#76,76, New York
94133,San Francisco,37.802071,-122.411004,26827,40117.97,#77,77, California
10044,New York,40.76205,-73.949933,9520,39391.64,#78,78, New York
10451,Bronx,40.822092,-73.922612,40961,39106.39,#79,79, New York
11368,Corona,40.749407,-73.85278,98841,38864.33,#80,80, New York
